"Source:","D:\WORK\2021-ZXD2400PLUS\hardware\esp2400.sch"
"Date:","2021/11/3 9:11:47"
"Tool:","Eeschema (5.1.0)-1"
"Component Count:","109"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"C1","1","all:C_0805_2012Metric","~","",""
"C2","1","all:C_0805_2012Metric","~","",""
"C3","1","all:C_0805_2012Metric","~","",""
"C4","10","all:C_0805_2012Metric","~","",""
"C5","1","all:C_0805_2012Metric","~","",""
"C6","1","all:C_0805_2012Metric","~","",""
"C7","1","all:C_0805_2012Metric","~","",""
"C8","1","all:C_0805_2012Metric","~","",""
"C9","0.1","all:C_0603_1608Metric","~","",""
"C10","0.1","all:C_0603_1608Metric","~","",""
"C11","0.1","all:C_0603_1608Metric","~","",""
"C12","0.1","all:C_0603_1608Metric","~","",""
"C13","2n","all:C_0805_2012Metric","~","",""
"C14","1","all:C_0805_2012Metric","~","",""
"C15","1","all:C_0805_2012Metric","~","",""
"C16","10","all:C_0805_2012Metric","~","",""
"C17","1","all:C_0805_2012Metric","~","",""
"C18","100/6.3V","all:CP_Elec_5x5.9","~","",""
"C19","0.1","all:C_0603_1608Metric","~","",""
"C20","0.1","all:C_0603_1608Metric","~","",""
"C21","10","all:C_0805_2012Metric","~","",""
"C22","10","all:C_0805_2012Metric","~","",""
"C23","0.01","all:C_0603_1608Metric","~","",""
"C24","0.01","all:C_0603_1608Metric","~","",""
"C25","0.01","all:C_0603_1608Metric","~","",""
"C26","0.01","all:C_0603_1608Metric","~","",""
"C27","1","all:C_0805_2012Metric","~","",""
"C28","1","all:C_0805_2012Metric","~","",""
"C29","1/25V","all:C_1206_3216Metric","~","",""
"C30","100/25V","all:CP_Elec_8x10.5","~","",""
"C31","1","all:C_0805_2012Metric","~","",""
"C32","1","all:C_0805_2012Metric","~","",""
"C33","1","all:C_0805_2012Metric","~","",""
"C34","2n","all:C_0805_2012Metric","~","",""
"D1","SS12","all:D_SMA","~","",""
"D2","SS12","all:D_SMA","~","",""
"D3","SS36","all:D_SMA","~","",""
"D4","SS12","all:D_SMA","~","",""
"D5","SS12","all:D_SMA","~","",""
"D6","SS12","all:D_SMA","~","",""
"J1","PAD","all:Pin_D1.0mm_L10.0mm","~","",""
"J2","PAD","all:Pin_D1.0mm_L10.0mm","~","",""
"J3","PAD","all:Pin_D1.0mm_L10.0mm","~","",""
"J4","PAD","all:Pin_D1.0mm_L10.0mm","~","",""
"J5","PAD","all:Pin_D1.0mm_L10.0mm","~","",""
"J6","PAD","all:Pin_D1.0mm_L10.0mm","~","",""
"J7","PAD","all:Pin_D1.0mm_L10.0mm","~","",""
"J8","PAD","all:Pin_D1.0mm_L10.0mm","~","",""
"J9","PAD","all:Pin_D1.0mm_L10.0mm","~","",""
"J10","PAD","all:Pin_D1.0mm_L10.0mm","~","",""
"J11","PAD","all:Pin_D1.0mm_L10.0mm","~","",""
"J12","PAD","all:Pin_D1.0mm_L10.0mm","~","",""
"J13","PAD","all:Pin_D1.0mm_L10.0mm","~","",""
"J14","PAD","all:Pin_D1.0mm_L10.0mm","~","",""
"J15","PAD","all:Pin_D1.0mm_L10.0mm","~","",""
"J16","PAD","all:Pin_D1.0mm_L10.0mm","~","",""
"J17","PAD","all:Pin_D1.0mm_L10.0mm","~","",""
"J18","PAD","all:Pin_D1.0mm_L10.0mm","~","",""
"J19","PAD","all:Pin_D1.0mm_L10.0mm","~","",""
"J20","PAD","all:Pin_D1.0mm_L10.0mm","~","",""
"J21","PAD","all:Pin_D1.0mm_L10.0mm","~","",""
"J22","PAD","all:Pin_D1.0mm_L10.0mm","~","",""
"L1","47/1A","all:L470","~","",""
"Q1","MMBT3904","all:SOT-23","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf","",""
"R1","2.2k","all:R_0603_1608Metric","~","",""
"R2","0","all:R_0603_1608Metric","~","",""
"R4","47k","all:R_0603_1608Metric","~","",""
"R5","4.7k","all:R_0603_1608Metric","~","",""
"R6","4.7k","all:R_0603_1608Metric","~","",""
"R7","1k","all:R_0603_1608Metric","~","",""
"R8","1k","all:R_0603_1608Metric","~","",""
"R9","47k","all:R_0603_1608Metric","~","",""
"R10","47k","all:R_0603_1608Metric","~","",""
"R11","51k","all:R_0603_1608Metric","~","",""
"R12","51k","all:R_0603_1608Metric","~","",""
"R14","4.7k","all:R_0603_1608Metric","~","",""
"R15","R_Small","all:R_0603_1608Metric","~","",""
"R16","27k","all:R_0603_1608Metric","~","",""
"R17","27k","all:R_0603_1608Metric","~","",""
"R18","220k","all:R_0603_1608Metric","~","",""
"R19","220k","all:R_0603_1608Metric","~","",""
"R20","470k","all:R_0603_1608Metric","~","",""
"R21","470k","all:R_0603_1608Metric","~","",""
"R22","120k","all:R_0603_1608Metric","~","",""
"R23","120k","all:R_0603_1608Metric","~","",""
"R24","82k","all:R_0603_1608Metric","~","",""
"R25","82k","all:R_0603_1608Metric","~","",""
"R26","47k","all:R_0603_1608Metric","~","",""
"R27","47k","all:R_0603_1608Metric","~","",""
"R28","2.2k","all:R_0603_1608Metric","~","",""
"R29","2.2k","all:R_0603_1608Metric","~","",""
"R30","2.2k","all:R_0603_1608Metric","~","",""
"R31","47k","all:R_0603_1608Metric","~","",""
"R32","100k","all:R_0603_1608Metric","~","",""
"R33","2.2k","all:R_0603_1608Metric","~","",""
"SW1","EC11","all:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm","","",""
"SW2","EC11","all:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm","","",""
"U1","ST7789","all:1.14LCD","","",""
"U2","CH340C","all:SOP-16_4.4x10.4mm_P1.27mm","http://www.datasheet5.com/pdf-local-2195953","",""
"U3","CS1237","all:SOP-8_3.9x4.9mm_P1.27mm","","",""
"U4","CS1237","all:SOP-8_3.9x4.9mm_P1.27mm","","",""
"U5","ESP32-WROOM","all:ESP32-WROOM","","",""
"U6","BL1551","all:SC70-6","","",""
"U7","BL1551","all:SC70-6","","",""
"U8","AP1117-33","all:SOT-223-3_TabPin2","http://www.diodes.com/datasheets/AP1117.pdf","",""
"U9","REF5025","all:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/ref5030.pdf","",""
"U10","XL2001","all:SOIC-8_3.9x4.9mm_P1.27mm","","",""
"U11","GS8552","all:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf","",""
"U12","USB","all:USB","","",""
